id,task,downloads,likes,tags,description
ricoh-ai/Qwen-3-VL-Ricoh-8B-20260227,visual-question-answering,865,13,"safetensors, qwen3_vl, visual-question-answering, ja, base_model:Qwen/Qwen3-VL-8B-Thinking, base_model:finetune:Qwen/Qwen3-VL-8B-Thinking, license:apache-2.0, region:us",
microsoft/deberta-base-mnli,text-classification,60061,8,"transformers, pytorch, rust, deberta, text-classification, deberta-v1, deberta-mnli, en",[DeBERTa](https://arxiv.org/abs/2006.03654) improves the BERT and RoBERTa models using disentangled attention and enhanced mask decoder. It outperforms BERT and RoBERTa on  majority of NLU tasks with 
google/ddpm-celebahq-256,unconditional-image-generation,15077,55,"diffusers, pytorch, unconditional-image-generation, arxiv:2006.11239, license:apache-2.0, diffusers:DDPMPipeline, region:us",**Paper**: [Denoising Diffusion Probabilistic Models](https://arxiv.org/abs/2006.11239)
valiantcat/LTX-2.3-Transition-LORA,image-to-video,21969,80,"diffusers, lora, ValiantCat, Lightricks, LTX-2.3, image-to-video, en, base_model:Lightricks/LTX-2.3",This LoRA is trained on top of **[Lightricks/LTX-2.3](https://huggingface.co/Lightricks/LTX-2.3)** and is built with a custom training paradigm tailored for high-consistency video generation.
facebook/sapiens-pose-1b-bfloat16,keypoint-detection,33,1,"sapiens, keypoint-detection, en, arxiv:2408.12569, license:cc-by-nc-4.0, region:us","Sapiens is a family of vision transformers pretrained on 300 million human images at 1024 x 1024 image resolution. The pretrained models, when finetuned for human-centric vision tasks, generalize to i"
unsloth/FLUX.2-klein-9B-GGUF,image-to-image,65115,174,"ggml, gguf, image-generation, unsloth, image-editing, flux, diffusion-single-file, image-to-image",This is a GGUF quantized version of [FLUX.2-klein-9B](https://huggingface.co/black-forest-labs/FLUX.2-klein-9B). <br>
mradermacher/Vero-Qwen3I-8B-i1-GGUF,reinforcement-learning,4953,0,"transformers, gguf, vero, vision-language-model, multimodal, visual-reasoning, reinforcement-learning, en",weighted/imatrix quants of https://huggingface.co/zlab-princeton/Vero-Qwen3I-8B
jeannedup/a2c-cartpole,reinforcement-learning,283,0,"stable-baselines3, CartPole-v1, deep-reinforcement-learning, reinforcement-learning, model-index, region:us",This is a trained model of a **A2C** agent playing **CartPole-v1**
cacauvicosa/heart1ohr2x9e-target-classification,tabular-classification,0,0,"sklearn, tabular-classification, baseline-trainer, license:apache-2.0, region:us","Name: LogisticRegression(class_weight='balanced', max_iter=1000), dtype: float64"
HumanCompatibleAI/ppo-seals-CartPole-v0,reinforcement-learning,55733,16,"stable-baselines3, seals/CartPole-v0, deep-reinforcement-learning, reinforcement-learning, model-index, region:us",This is a trained model of a **PPO** agent playing **seals/CartPole-v0**
